name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Illan Meslier,23,38,0,0,0,6.50,0.2,0.1,1.0,0,0,30.0,19
Stuart Dallas,32,36,3,2,30,6.70,1.0,0.8,2.3,6,4,35.0,19
Liam Cooper,33,20,0,0,5,6.60,1.2,0.7,4.5,2,1,38.0,19
Diego Llorente,30,25,1,0,15,6.55,1.5,1.0,3.9,1,0,36.0,19
Robin Koch,25,22,0,0,12,6.45,1.3,0.9,3.8,1,0,34.0,19
Luke Ayling,31,34,1,1,20,6.70,1.1,0.8,3.0,3,2,37.0,19
Jack Harrison,26,28,6,3,40,6.85,0.7,0.5,1.2,10,8,34.0,19
Raphinha,26,27,12,5,55,7.10,0.6,0.4,1.1,12,15,42.0,19
Rodrigo Moreno,32,31,13,2,45,7.00,0.8,0.6,1.8,8,7,40.0,19
Crysencio Summerville,20,28,8,4,35,6.95,0.6,0.4,1.1,9,10,38.0,19
Kalvin Phillips,27,30,2,1,20,6.65,1.0,1.2,3.2,5,3,39.0,19
Marc Roca,27,20,1,0,15,6.60,1.1,0.9,2.9,4,3,36.0,19
Tyler Adams,23,29,2,1,25,6.70,1.3,1.1,3.4,6,4,37.0,19
Brenden Aaronson,22,28,3,2,30,6.75,0.9,0.8,2.0,7,6,35.0,19
Cody Drameh,21,18,0,1,10,6.60,0.8,0.7,2.5,2,1,34.0,19
Joe Gelhardt,20,12,1,0,15,6.55,0.7,0.5,1.3,3,2,32.0,19
Denis Odoi,35,15,0,0,5,6.40,1.4,1.0,3.1,1,0,33.0,19
Charlie Cresswell,20,10,0,0,4,6.50,1.2,0.9,3.2,1,0,31.0,19
James Milner,37,22,0,1,10,6.60,1.0,0.8,2.9,3,2,40.0,19
Patrick Bamford,29,28,6,1,40,6.80,0.5,0.4,1.0,7,5,39.0,19
