name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
José Sá,30,37,0,0,0,6.60,0.2,0.1,1.2,0,0,28.0,13
Nelson Semedo,29,36,0,2,10,6.65,1.3,1.0,3.2,4,3,34.0,13
Craig Dawson,33,20,2,0,6,6.75,1.5,1.2,4.1,1,0,35.0,13
Max Kilman,26,38,1,0,7,6.70,1.4,1.1,4.3,1,1,36.0,13
Toti Gomes,24,27,0,0,4,6.55,1.3,0.9,3.9,1,0,33.0,13
Jonny Otto,29,18,0,1,8,6.50,1.0,0.7,2.8,2,1,32.0,13
Rayan Aït-Nouri,22,23,1,2,15,6.60,1.1,0.8,2.5,3,4,34.0,13
Rúben Neves,26,35,6,1,35,7.05,1.6,1.3,2.9,6,3,43.0,13
Mario Lemina,29,18,1,0,12,6.70,1.4,1.0,2.7,3,2,36.0,13
Matheus Nunes,24,34,1,1,20,6.75,1.3,0.9,2.4,4,4,38.0,13
João Gomes,22,13,1,0,9,6.60,1.1,0.8,2.2,2,2,30.0,13
Daniel Podence,27,32,6,2,30,6.90,0.6,0.5,1.1,7,5,34.0,13
Pablo Sarabia,31,17,2,2,18,6.70,0.7,0.5,1.3,5,4,33.0,13
Pedro Neto,23,18,1,3,22,6.85,0.8,0.6,1.2,6,6,36.0,13
Adama Traoré,27,33,2,3,25,6.80,0.5,0.4,1.0,4,10,32.0,13
Hwang Hee-chan,27,27,3,2,19,6.75,0.7,0.5,1.3,5,5,31.0,13
Raúl Jiménez,32,27,2,1,30,6.60,0.6,0.4,1.1,3,2,30.0,13
Diego Costa,34,23,1,1,20,6.50,0.4,0.3,1.0,2,1,29.0,13
Nathan Collins,22,28,0,0,4,6.55,1.2,0.9,4.0,1,0,33.0,13
Boubacar Traoré,21,10,0,0,5,6.40,0.8,0.7,1.9,1,1,28.0,13
