name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Vicente Guaita,36,27,0,0,0,6.60,0.2,0.1,1.0,0,0,28.0,11
Marc Guéhi,23,37,0,0,4,6.75,1.3,1.0,4.2,1,0,36.0,11
Joachim Andersen,27,34,1,1,6,6.80,1.2,0.9,4.0,2,0,37.0,11
Tyrick Mitchell,23,35,0,1,7,6.70,1.5,1.2,3.1,3,2,35.0,11
Nathaniel Clyne,32,22,0,0,4,6.60,1.0,0.8,2.8,1,1,33.0,11
Joel Ward,33,24,0,0,3,6.55,1.1,0.9,3.4,1,0,32.0,11
Cheick Doucouré,23,34,1,1,9,6.90,1.6,1.3,2.9,3,2,38.0,11
Will Hughes,28,20,0,1,5,6.50,1.0,0.8,2.1,2,2,31.0,11
Eberechi Eze,24,38,10,4,42,7.20,0.9,0.7,1.5,8,6,40.0,11
Michael Olise,21,37,2,11,36,7.10,0.7,0.5,1.3,9,7,38.0,11
Jeffrey Schlupp,30,36,3,2,20,6.75,1.1,0.9,2.3,3,3,34.0,11
Jordan Ayew,31,35,4,3,24,6.80,1.0,0.8,1.8,5,4,33.0,11
Wilfried Zaha,30,28,7,2,45,7.00,0.6,0.4,1.1,6,8,36.0,11
Odsonne Édouard,25,35,5,2,33,6.85,0.5,0.4,1.0,3,3,32.0,11
Jean-Philippe Mateta,26,27,4,1,29,6.70,0.4,0.3,0.9,2,2,30.0,11
Luka Milivojević,32,18,0,0,3,6.40,0.9,0.7,2.4,1,0,29.0,11
Chris Richards,23,10,0,0,2,6.55,1.2,0.9,3.0,1,0,30.0,11
James Tomkins,34,12,0,0,1,6.45,1.0,0.8,3.1,0,0,28.0,11
Naouirou Ahamada,21,8,0,0,2,6.35,0.7,0.6,1.9,0,1,26.0,11
Sam Johnstone,30,11,0,0,0,6.50,0.1,0.1,0.8,0,0,24.0,11
