name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Kepa Arrizabalaga,28,29,0,0,0,6.65,0.1,0.1,1.0,0,0,29.0,12
Thiago Silva,38,27,2,0,5,6.90,1.2,1.1,4.5,1,0,40.0,12
Wesley Fofana,22,20,0,0,4,6.60,1.3,0.9,3.9,1,0,35.0,12
Ben Chilwell,26,23,2,3,18,6.75,1.0,0.8,2.7,5,3,34.0,12
Reece James,23,24,1,2,14,6.80,1.1,1.0,3.1,6,4,36.0,12
Kalidou Koulibaly,32,25,1,0,6,6.60,1.4,1.1,4.2,1,0,33.0,12
Enzo Fernández,22,18,1,2,19,7.00,1.5,1.2,2.8,5,4,44.0,12
Conor Gallagher,23,35,3,1,21,6.70,1.6,1.0,2.6,4,4,33.0,12
Mateo Kovačić,29,27,2,1,16,6.65,1.2,1.0,2.3,3,3,32.0,12
N’Golo Kanté,32,9,0,1,3,6.80,1.8,1.5,2.4,2,2,30.0,12
Mason Mount,24,24,3,2,28,6.75,0.9,0.6,1.7,6,4,36.0,12
Raheem Sterling,28,28,6,3,36,6.85,0.5,0.4,1.1,7,5,34.0,12
Kai Havertz,24,35,7,1,40,6.90,0.6,0.5,1.2,4,3,35.0,12
João Félix,23,16,4,0,32,6.80,0.5,0.3,1.0,3,5,31.0,12
Christian Pulisic,24,24,1,1,22,6.60,0.6,0.4,1.0,3,4,30.0,12
Mykhailo Mudryk,22,15,0,2,10,6.55,0.4,0.3,0.8,3,4,29.0,12
Pierre-Emerick Aubameyang,33,15,1,0,14,6.30,0.2,0.2,0.5,1,0,26.0,12
Trevoh Chalobah,24,25,0,0,5,6.60,1.3,1.0,3.5,1,0,33.0,12
Marc Cucurella,25,24,0,1,9,6.50,1.0,0.8,2.9,2,1,30.0,12
Edouard Mendy,31,10,0,0,0,6.40,0.1,0.0,0.9,0,0,24.0,12
