name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Nick Pope,31,37,0,0,0,7.00,0.3,0.2,1.3,0,0,32.0,4
Kieran Trippier,32,38,1,7,26,7.35,1.7,1.4,2.7,7,4,58.0,4
Sven Botman,23,36,0,1,6,7.10,1.3,1.1,4.5,1,0,49.0,4
Fabian Schär,31,36,2,2,13,7.15,1.4,1.3,5.0,2,1,52.0,4
Dan Burn,31,36,1,2,10,6.95,1.6,1.2,4.1,2,1,42.0,4
Matt Targett,28,19,0,1,4,6.60,1.1,0.8,3.0,1,1,34.0,4
Bruno Guimarães,25,32,5,6,21,7.30,2.2,1.8,2.6,5,3,56.0,4
Sean Longstaff,25,33,1,3,15,6.85,1.5,1.1,2.2,3,2,41.0,4
Joe Willock,24,35,3,6,25,7.00,1.2,0.9,1.7,4,4,44.0,4
Joelinton,27,32,6,3,31,7.05,2.0,1.3,2.0,4,5,46.0,4
Elliot Anderson,20,22,0,1,6,6.45,0.8,0.6,1.5,1,2,29.0,4
Miguel Almirón,29,34,11,2,40,7.20,0.9,0.7,1.4,4,6,39.0,4
Jacob Murphy,28,31,3,2,18,6.70,0.7,0.5,1.2,3,3,33.0,4
Allan Saint-Maximin,26,25,1,5,27,6.85,0.6,0.4,1.1,5,7,36.0,4
Alexander Isak,23,22,10,2,38,7.25,0.6,0.3,1.0,4,4,34.0,4
Callum Wilson,31,31,18,5,51,7.40,0.7,0.5,1.2,4,3,35.0,4
Anthony Gordon,22,16,1,1,11,6.60,0.8,0.6,1.1,2,2,30.0,4
Jamaal Lascelles,29,7,0,0,1,6.30,1.2,1.0,4.0,0,0,25.0,4
Matt Ritchie,33,6,0,0,2,6.10,0.5,0.3,0.9,1,1,22.0,4
Martin Dúbravka,34,1,0,0,0,6.20,0.1,0.0,0.8,0,0,18.0,4
