name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Aaron Ramsdale,25,38,0,0,0,7.00,0.3,0.2,1.2,0,0,29.0,2
Ben White,25,38,2,5,10,7.00,1.2,0.8,3.5,3,2,46.0,2
William Saliba,22,27,2,0,7,7.20,1.4,1.1,4.2,1,1,50.0,2
Gabriel Magalhães,25,38,3,0,9,7.10,1.3,1.0,4.6,1,0,48.0,2
Oleksandr Zinchenko,26,27,1,2,15,7.00,1.5,1.2,2.7,4,3,54.0,2
Thomas Partey,30,33,3,1,16,7.05,2.0,1.6,3.1,2,2,49.0,2
Granit Xhaka,30,37,7,7,25,7.15,1.3,1.0,2.0,5,2,52.0,2
Martin Ødegaard,24,37,15,7,56,7.40,1.0,0.7,1.3,7,3,57.0,2
Bukayo Saka,22,38,14,11,62,7.45,0.7,0.6,1.2,8,6,48.0,2
Gabriel Martinelli,22,36,15,5,60,7.30,0.6,0.4,1.1,6,7,42.0,2
Gabriel Jesus,26,26,11,6,58,7.25,0.8,0.6,1.0,4,4,39.0,2
Leandro Trossard,28,20,1,10,20,6.95,0.5,0.3,0.9,5,5,36.0,2
Eddie Nketiah,24,30,4,2,29,6.85,0.6,0.4,0.9,2,3,30.0,2
Kieran Tierney,26,20,0,1,3,6.60,1.4,1.0,3.8,1,1,33.0,2
Jakub Kiwior,23,7,0,0,1,6.50,0.9,0.8,2.9,0,0,28.0,2
Jorginho,31,14,0,1,2,6.70,1.6,1.4,2.4,2,1,43.0,2
Fabio Vieira,23,18,1,2,6,6.40,0.5,0.4,1.1,2,2,25.0,2
Takehiro Tomiyasu,24,21,0,0,4,6.65,1.8,1.2,3.2,1,1,34.0,2
Rob Holding,27,14,1,0,3,6.30,1.2,1.1,3.9,0,0,31.0,2
Reiss Nelson,24,11,3,2,9,6.90,0.5,0.3,1.0,2,3,29.0,2
