name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Jason Steele,32,15,0,0,0,6.75,0.2,0.1,1.1,0,0,30.0,6
Lewis Dunk,31,36,1,0,7,7.10,1.3,1.0,4.8,1,0,62.0,6
Adam Webster,28,26,0,1,4,6.80,1.2,0.9,4.1,1,0,54.0,6
Pervis Estupiñán,25,35,1,7,14,7.05,1.5,1.2,3.5,6,4,48.0,6
Joel Veltman,31,30,1,2,6,6.90,1.6,1.1,3.6,3,2,47.0,6
Moisés Caicedo,21,37,1,1,11,7.15,2.1,1.7,2.9,3,3,60.0,6
Pascal Groß,32,37,9,8,29,7.25,1.3,1.1,2.5,7,4,59.0,6
Alexis Mac Allister,24,35,10,2,41,7.30,1.4,1.0,2.0,6,5,55.0,6
Billy Gilmour,22,14,0,0,4,6.55,1.0,0.8,2.1,1,1,33.0,6
Facundo Buonanotte,18,14,1,1,10,6.60,0.7,0.5,1.0,2,3,28.0,6
Kaoru Mitoma,26,33,7,5,38,7.20,0.8,0.6,1.3,6,8,40.0,6
Solly March,28,36,7,7,42,7.15,1.0,0.9,1.5,8,5,45.0,6
Julio Enciso,19,20,4,3,26,7.00,0.6,0.4,1.1,4,6,34.0,6
Danny Welbeck,32,30,6,2,30,6.90,0.7,0.5,1.2,3,3,31.0,6
Evan Ferguson,18,19,6,2,25,7.05,0.6,0.4,1.0,2,2,28.0,6
Jeremy Sarmiento,21,12,0,1,6,6.40,0.5,0.4,0.9,1,2,26.0,6
Jan Paul van Hecke,23,12,0,0,2,6.50,1.1,0.9,3.5,0,0,27.0,6
Tariq Lamptey,22,15,0,1,5,6.45,0.9,0.7,2.2,1,3,29.0,6
Robert Sánchez,25,23,0,0,0,6.60,0.2,0.2,1.2,0,0,31.0,6
Deniz Undav,27,17,5,2,15,6.80,0.5,0.3,0.9,2,2,30.0,6
