name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Gavin Bazunu,21,41,0,0,0,6.50,0.2,0.1,1.1,0,0,25.0,20
Alex McCarthy,33,6,0,0,0,6.60,0.1,0.0,1.0,0,0,22.0,20
Kyle Walker‑Peters,26,31,1,1,14,6.70,1.0,0.8,2.3,5,4,35.0,20
Jan Bednarek,27,23,0,0,10,6.65,1.5,0.9,4.0,1,0,40.0,20
Mohammed Salisu,24,22,1,0,20,6.60,1.2,0.8,3.8,2,1,38.0,20
Armel Bella‑Kotchap,21,24,0,0,14,6.55,1.3,0.7,3.6,1,0,36.0,20
Lyanco,26,21,1,0,12,6.58,1.1,0.6,3.5,1,0,34.0,20
James Bree,25,5,0,0,1,6.40,0.8,0.5,1.2,0,0,30.0,20
Romain Perraud,25,29,2,2,30,6.80,1.0,0.7,2.5,7,3,42.0,20
Juan Larios,19,5,0,0,0,6.45,0.5,0.3,1.0,0,0,28.0,20
Joe Aribo,26,21,2,0,14,6.65,0.9,0.6,2.0,8,5,34.0,20
Stuart Armstrong,31,32,2,2,23,6.70,0.8,0.7,2.2,6,4,33.0,20
Kamaldeen Sulemana,20,18,1,1,23,6.60,0.7,0.5,1.5,7,6,32.0,20
Samuel Edozie,20,17,0,0,7,6.55,0.6,0.4,1.1,3,7,31.0,20
Mohamed Elyounoussi,30,33,1,1,35,6.68,0.7,0.6,2.1,9,8,34.0,20
Carlos Alcaraz,20,18,0,0,22,6.60,0.7,0.5,1.4,9,5,33.0,20
Roméo Lavia,19,29,0,0,11,6.75,1.0,0.8,2.9,2,3,37.0,20
Ibrahima Diallo,24,29,0,0,11,6.65,1.1,0.9,3.0,2,2,36.0,20
James Ward‑Prowse,28,38,0,1,43,6.85,1.3,1.0,3.5,14,6,45.0,20
Adam Armstrong,26,44,21,5,24,7.10,0.7,0.4,1.8,6,3,28.0,20
