name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Bernd Leno,31,36,0,0,0,6.70,0.3,0.2,1.1,0,0,29.0,10
Kenny Tete,27,31,1,3,10,6.80,1.5,1.2,3.2,4,2,33.0,10
Tim Ream,35,38,1,0,5,6.85,1.4,1.0,4.4,1,0,36.0,10
Tosin Adarabioyo,25,30,0,0,3,6.70,1.2,1.1,4.0,1,0,34.0,10
Antonee Robinson,25,35,0,2,7,6.75,1.6,1.3,3.5,3,2,32.0,10
João Palhinha,27,35,3,1,17,7.10,2.2,1.8,3.0,2,2,38.0,10
Harrison Reed,28,36,2,3,14,6.85,1.3,1.0,2.1,4,3,35.0,10
Tom Cairney,32,25,0,2,6,6.60,0.8,0.6,1.5,3,2,30.0,10
Andreas Pereira,27,33,4,6,33,7.00,1.1,0.9,1.8,9,4,39.0,10
Willian,34,27,5,3,38,7.05,0.7,0.5,1.3,8,5,37.0,10
Harry Wilson,26,30,2,4,26,6.90,0.8,0.6,1.1,7,6,34.0,10
Bobby De Cordova-Reid,30,36,4,2,20,6.80,0.9,0.7,1.4,5,4,33.0,10
Manor Solomon,24,23,3,1,18,6.75,0.6,0.4,1.0,3,5,30.0,10
Carlos Vinícius,28,28,5,1,22,6.70,0.6,0.5,1.0,3,3,28.0,10
Aleksandar Mitrović,28,24,14,1,56,7.20,0.7,0.5,1.3,5,4,33.0,10
Daniel James,25,23,1,2,19,6.60,0.8,0.5,1.1,2,5,29.0,10
Issa Diop,26,27,1,0,6,6.70,1.3,1.1,4.1,1,0,34.0,10
Layvin Kurzawa,30,7,1,0,3,6.50,0.6,0.4,1.8,0,0,26.0,10
Sasa Lukic,26,12,0,1,4,6.55,0.9,0.7,2.2,1,1,30.0,10
Marek Rodák,26,2,0,0,0,6.40,0.1,0.1,0.8,0,0,20.0,10
