name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
David de Gea,32,38,0,0,0,6.85,0.2,0.1,1.0,0,0,28.0,3
Diogo Dalot,24,26,1,3,15,6.95,1.5,1.1,3.2,4,3,41.0,3
Aaron Wan-Bissaka,25,27,0,2,5,6.80,2.0,1.5,3.8,2,3,35.0,3
Luke Shaw,28,31,1,3,14,7.05,1.3,1.1,3.6,5,2,49.0,3
Lisandro Martínez,25,27,1,0,7,7.10,1.8,1.6,4.4,2,1,53.0,3
Raphaël Varane,30,24,0,0,3,6.90,1.1,1.0,4.0,1,0,45.0,3
Victor Lindelöf,29,21,1,0,4,6.85,1.2,1.1,4.2,1,0,44.0,3
Casemiro,31,28,4,3,20,7.30,3.1,2.3,3.3,3,3,50.0,3
Christian Eriksen,31,28,1,8,19,7.05,0.9,0.8,1.9,5,2,52.0,3
Fred,30,24,2,2,12,6.80,2.0,1.6,2.5,2,2,39.0,3
Bruno Fernandes,28,37,8,8,91,7.35,1.1,0.9,2.0,9,4,59.0,3
Scott McTominay,26,24,1,0,6,6.60,1.5,1.2,2.7,1,1,32.0,3
Marcus Rashford,25,35,17,5,83,7.40,0.7,0.6,1.2,6,6,40.0,3
Jadon Sancho,23,26,6,3,34,7.00,0.6,0.5,1.0,4,4,35.0,3
Antony,23,25,4,2,50,6.90,0.8,0.6,1.1,3,4,38.0,3
Alejandro Garnacho,19,15,3,2,17,6.85,0.5,0.4,1.0,2,3,28.0,3
Wout Weghorst,30,17,1,2,19,6.70,0.9,0.7,1.5,2,2,33.0,3
Anthony Martial,27,21,6,3,24,7.00,0.6,0.4,1.1,3,3,30.0,3
Tyrell Malacia,24,22,0,1,5,6.60,1.6,1.2,2.8,1,2,34.0,3
Harry Maguire,30,16,0,0,2,6.40,1.0,0.9,4.2,0,0,30.0,3
