name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Emiliano Martínez,30,36,0,0,0,6.75,0.3,0.2,1.2,0,0,30.0,7
Tyrone Mings,30,33,0,2,3,7.00,1.5,1.2,4.5,2,0,34.0,7
Ezri Konsa,25,38,0,0,2,6.80,1.2,1.0,4.0,1,0,32.0,7
Lucas Digne,30,26,1,3,15,6.70,1.1,0.9,3.3,5,3,33.0,7
Matty Cash,25,28,0,1,9,6.65,1.3,1.1,3.1,2,2,34.0,7
Diego Carlos,30,6,0,0,1,6.45,1.0,0.8,3.0,0,0,28.0,7
Boubacar Kamara,23,24,0,1,5,6.80,1.7,1.4,2.8,2,2,35.0,7
Douglas Luiz,25,37,6,6,26,7.10,1.4,1.1,2.5,7,4,39.0,7
John McGinn,28,34,1,3,19,6.85,1.6,1.2,2.3,5,3,37.0,7
Jacob Ramsey,21,35,6,7,30,7.00,1.0,0.9,1.9,6,6,36.0,7
Leander Dendoncker,28,18,0,0,3,6.50,1.1,0.9,2.0,1,1,30.0,7
Emiliano Buendía,26,35,5,2,32,6.95,0.9,0.7,1.5,6,5,34.0,7
Philippe Coutinho,31,20,1,0,15,6.60,0.5,0.4,1.0,3,3,30.0,7
Leon Bailey,25,33,4,3,28,6.85,0.7,0.5,1.2,5,6,32.0,7
Ollie Watkins,27,37,15,6,61,7.25,0.8,0.6,1.3,6,5,37.0,7
Bertrand Traoré,27,9,2,0,9,6.50,0.4,0.3,0.8,2,3,26.0,7
Jhon Durán,19,12,1,0,10,6.45,0.3,0.2,0.9,1,2,25.0,7
Calum Chambers,28,10,0,0,1,6.40,1.0,0.8,3.2,0,0,27.0,7
Ashley Young,38,29,1,2,10,6.70,1.1,0.9,3.0,2,1,32.0,7
Robin Olsen,33,2,0,0,0,6.30,0.1,0.0,0.8,0,0,20.0,7
