name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Keylor Navas,36,17,0,0,0,6.70,0.2,0.1,1.5,0,0,25.0,16
Serge Aurier,30,27,0,2,8,6.65,1.3,1.0,3.1,4,3,35.0,16
Renan Lodi,25,28,1,3,15,6.80,1.1,0.9,2.4,6,4,37.0,16
Joe Worrall,26,32,1,0,5,6.60,1.5,1.0,4.0,2,1,36.0,16
Scott McKenna,26,27,0,0,3,6.50,1.4,0.8,3.7,1,0,34.0,16
Felipe,33,18,1,0,4,6.70,1.6,1.2,4.3,1,0,38.0,16
Orel Mangala,25,29,0,2,6,6.60,1.2,0.8,2.5,3,2,32.0,16
Ryan Yates,25,25,1,1,9,6.55,1.3,1.1,3.0,2,2,30.0,16
Danilo,22,17,3,1,14,6.85,1.0,0.7,2.2,3,3,31.0,16
Remo Freuler,31,30,0,3,7,6.75,1.1,1.0,2.8,2,2,33.0,16
Jesse Lingard,30,17,0,2,18,6.40,0.6,0.5,1.1,4,5,29.0,16
Morgan Gibbs-White,23,35,5,8,35,7.05,0.8,0.6,1.5,9,6,40.0,16
Taiwo Awoniyi,25,27,10,1,33,7.00,0.5,0.3,1.0,4,3,28.0,16
Emmanuel Dennis,25,19,2,1,18,6.60,0.7,0.5,1.3,3,4,29.0,16
Brennan Johnson,21,36,8,3,38,6.95,0.6,0.4,1.2,7,6,31.0,16
Andre Ayew,33,13,0,0,5,6.30,0.3,0.2,0.8,1,1,20.0,16
Cheikhou Kouyaté,33,16,0,0,6,6.45,0.9,0.8,2.7,1,0,27.0,16
Harry Toffolo,27,13,0,1,5,6.50,0.8,0.7,2.0,2,2,29.0,16
Neco Williams,22,27,0,2,12,6.60,1.2,1.0,2.8,3,3,33.0,16
Wayne Hennessey,36,5,0,0,0,6.35,0.1,0.0,0.9,0,0,22.0,16
