name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Ederson,30,35,0,0,0,6.80,0.2,0.1,1.1,0,0,30.0,1
Kyle Walker,33,27,0,1,5,6.85,1.2,1.0,3.5,1,1,42.0,1
Rúben Dias,26,32,1,0,4,7.10,1.0,1.1,4.3,1,0,54.0,1
Nathan Aké,28,30,2,1,6,7.05,1.5,1.3,3.8,2,1,48.0,1
Manuel Akanji,28,34,0,1,3,6.90,1.4,1.2,3.9,1,1,47.0,1
John Stones,29,23,2,1,5,7.20,1.6,1.4,3.2,2,1,55.0,1
Rodri,27,36,2,6,22,7.45,2.1,1.7,3.1,5,3,72.0,1
Kevin De Bruyne,32,32,7,16,67,7.65,1.1,0.8,2.0,10,3,60.0,1
İlkay Gündoğan,32,31,8,4,24,7.35,1.3,1.0,2.6,3,2,53.0,1
Bernardo Silva,29,34,4,5,29,7.20,1.7,1.5,2.3,4,3,51.0,1
Jack Grealish,28,28,5,7,30,7.25,0.7,0.5,1.1,5,5,49.0,1
Phil Foden,23,32,11,5,36,7.30,0.6,0.4,1.3,4,4,42.0,1
Riyad Mahrez,33,30,5,10,41,7.10,0.8,0.6,1.2,5,4,38.0,1
Erling Haaland,23,35,36,7,95,7.80,0.4,0.3,1.0,3,2,27.0,1
Julián Álvarez,24,31,9,2,28,7.00,0.5,0.4,1.0,2,2,32.0,1
Kalvin Phillips,28,12,0,1,2,6.40,0.9,0.7,1.2,1,1,22.0,1
Sergio Gómez,23,14,0,2,3,6.50,1.1,0.8,2.3,2,1,28.0,1
Cole Palmer,22,14,1,1,6,6.60,0.4,0.3,0.9,1,2,26.0,1
Rico Lewis,19,14,0,1,4,6.75,1.3,0.9,2.5,1,2,33.0,1
Stefan Ortega,31,3,0,0,0,6.50,0.2,0.1,0.9,0,0,20.0,1
