name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Alisson Becker,30,37,0,1,0,6.90,0.2,0.1,1.1,0,0,32.0,5
Trent Alexander-Arnold,24,37,1,9,40,7.10,1.2,0.8,2.5,9,5,55.0,5
Andrew Robertson,29,34,1,7,24,7.05,1.3,1.0,3.1,6,3,49.0,5
Virgil van Dijk,31,32,3,0,10,7.00,1.1,1.0,4.6,1,0,51.0,5
Ibrahima Konaté,24,23,0,0,5,6.80,1.4,0.9,3.9,0,0,42.0,5
Joe Gomez,26,21,0,1,3,6.60,1.2,0.8,3.2,1,0,36.0,5
Fabinho,29,36,1,1,8,6.85,1.8,1.4,2.9,2,2,47.0,5
Jordan Henderson,33,35,2,2,16,6.75,1.1,0.9,2.0,3,1,41.0,5
Harvey Elliott,20,32,2,3,19,6.80,0.9,0.6,1.3,4,3,35.0,5
James Milner,37,31,0,2,6,6.50,0.8,0.6,1.5,2,2,28.0,5
Stefan Bajcetic,18,11,0,0,4,6.55,1.2,0.9,2.1,1,2,30.0,5
Mohamed Salah,30,38,19,12,98,7.45,0.5,0.4,1.3,10,6,40.0,5
Darwin Núñez,24,29,9,3,84,7.00,0.6,0.3,1.0,5,6,29.0,5
Cody Gakpo,24,21,7,2,35,7.10,0.5,0.3,1.0,3,3,34.0,5
Diogo Jota,26,24,5,5,26,7.05,0.7,0.5,1.2,5,5,32.0,5
Luis Díaz,26,17,3,2,22,6.85,0.6,0.4,1.1,4,5,33.0,5
Roberto Firmino,31,25,11,4,29,7.20,0.5,0.3,0.9,3,2,31.0,5
Fabio Carvalho,20,13,1,0,6,6.40,0.4,0.3,1.0,1,1,22.0,5
Curtis Jones,22,18,1,1,10,6.70,0.9,0.7,1.3,2,3,30.0,5
Kostas Tsimikas,27,16,0,3,8,6.60,0.9,0.8,2.6,3,2,29.0,5
