name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Hugo Lloris,36,25,0,0,0,6.55,0.2,0.1,1.1,0,0,26.0,8
Cristian Romero,25,27,1,0,8,6.80,1.6,1.1,4.2,1,0,34.0,8
Eric Dier,29,33,2,0,6,6.70,1.3,1.0,4.0,1,0,35.0,8
Ben Davies,30,29,1,2,5,6.65,1.1,0.9,3.6,2,1,33.0,8
Emerson Royal,24,27,1,1,9,6.60,1.4,1.0,2.9,3,2,31.0,8
Ivan Perišić,34,34,1,8,32,6.90,0.7,0.6,2.2,7,4,36.0,8
Pierre-Emile Højbjerg,28,35,4,5,24,7.00,1.5,1.2,2.7,5,3,38.0,8
Rodrigo Bentancur,26,18,5,2,18,7.10,1.4,1.1,2.5,3,3,36.0,8
Oliver Skipp,22,23,1,1,11,6.65,1.2,1.0,2.6,2,2,34.0,8
Yves Bissouma,26,23,0,1,7,6.50,1.3,0.9,2.3,2,1,30.0,8
Son Heung-min,30,36,10,6,52,7.05,0.7,0.5,1.3,6,7,36.0,8
Harry Kane,29,38,30,3,80,7.50,0.6,0.4,1.1,8,5,39.0,8
Dejan Kulusevski,23,30,2,7,34,6.90,0.8,0.6,1.2,7,6,34.0,8
Richarlison,26,27,1,3,28,6.60,0.7,0.5,1.0,3,4,31.0,8
Lucas Moura,30,18,0,1,10,6.35,0.6,0.4,1.0,2,3,28.0,8
Davinson Sánchez,27,18,0,0,3,6.40,1.0,0.8,3.1,0,0,29.0,8
Japhet Tanganga,24,6,0,0,1,6.30,0.9,0.7,2.7,0,0,22.0,8
Clement Lenglet,28,24,0,1,4,6.55,1.2,0.9,3.4,2,0,32.0,8
Pape Matar Sarr,21,12,0,0,3,6.45,0.9,0.6,1.9,1,2,26.0,8
Fraser Forster,35,13,0,0,0,6.50,0.1,0.1,1.0,0,0,23.0,8
