name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Łukasz Fabiański,38,34,0,0,0,6.55,0.2,0.1,1.0,0,0,29.0,14
Vladimír Coufal,30,30,0,5,10,6.60,1.2,0.9,3.0,6,3,35.0,14
Thilo Kehrer,27,32,0,0,6,6.50,1.1,0.8,3.2,2,1,34.0,14
Kurt Zouma,28,25,1,0,5,6.55,1.3,1.0,4.1,1,0,36.0,14
Nayef Aguerd,27,27,1,0,4,6.60,1.2,1.1,3.8,1,0,37.0,14
Aaron Cresswell,33,29,0,3,12,6.65,0.9,0.7,2.7,4,3,33.0,14
Declan Rice,24,37,4,2,26,7.10,1.9,1.6,2.8,6,3,45.0,14
Tomáš Souček,28,36,3,1,24,6.80,1.5,1.3,3.3,3,2,40.0,14
Lucas Paquetá,25,28,4,3,30,6.95,1.3,1.1,2.0,7,5,38.0,14
Saïd Benrahma,27,33,6,3,38,7.00,0.6,0.5,1.5,8,6,36.0,14
Pablo Fornals,27,29,3,2,20,6.70,0.9,0.8,2.1,5,4,34.0,14
Jarrod Bowen,26,35,6,5,42,7.05,0.7,0.6,1.4,9,7,39.0,14
Michail Antonio,33,33,5,3,36,6.85,0.8,0.5,1.1,4,3,32.0,14
Danny Ings,30,22,4,1,22,6.70,0.5,0.4,1.0,2,2,28.0,14
Manuel Lanzini,30,20,1,1,11,6.50,0.6,0.5,1.3,2,2,30.0,14
Ben Johnson,23,23,0,0,7,6.45,0.9,0.7,2.5,1,1,31.0,14
Emerson Palmieri,29,25,0,2,9,6.55,1.0,0.9,2.4,3,3,33.0,14
Flynn Downes,24,21,0,1,4,6.40,1.1,1.0,2.3,1,1,29.0,14
Angelo Ogbonna,35,15,0,0,2,6.50,1.2,0.9,3.6,1,0,30.0,14
Alphonse Areola,30,4,0,0,0,6.45,0.1,0.0,0.9,0,0,24.0,14
