name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
David Raya,27,38,0,0,0,6.80,0.3,0.2,1.3,0,0,30.0,9
Ben Mee,33,37,3,0,9,7.00,1.4,1.1,4.6,1,0,34.0,9
Ethan Pinnock,30,33,2,0,6,6.95,1.3,1.0,4.2,1,0,33.0,9
Zanka,33,18,1,0,3,6.60,1.1,0.8,3.8,0,0,29.0,9
Rico Henry,26,36,0,2,8,6.80,1.5,1.2,3.5,3,2,35.0,9
Aaron Hickey,21,26,0,1,6,6.65,1.0,0.9,2.7,1,1,31.0,9
Christian Nørgaard,29,31,1,2,10,6.90,1.8,1.4,3.0,4,3,38.0,9
Mathias Jensen,27,37,5,6,28,7.05,1.2,1.0,2.5,8,5,40.0,9
Vitaly Janelt,25,32,2,1,16,6.75,1.3,1.1,2.6,3,2,36.0,9
Frank Onyeka,25,21,0,1,7,6.60,1.1,0.9,2.2,2,2,32.0,9
Mikkel Damsgaard,22,25,0,2,12,6.55,0.8,0.6,1.8,3,3,30.0,9
Josh Dasilva,24,28,3,1,14,6.70,0.9,0.7,1.5,3,3,31.0,9
Bryan Mbeumo,23,38,9,8,41,7.15,0.6,0.4,1.2,7,6,36.0,9
Yoane Wissa,26,34,7,2,33,6.95,0.7,0.5,1.1,4,4,34.0,9
Kevin Schade,21,15,1,1,14,6.60,0.5,0.3,1.0,2,4,29.0,9
Ivan Toney,27,33,20,4,66,7.25,0.8,0.6,1.3,6,5,38.0,9
Saman Ghoddos,29,14,0,0,5,6.40,0.6,0.4,1.0,1,1,25.0,9
Pontus Jansson,32,14,1,0,4,6.50,1.0,0.9,3.5,0,0,28.0,9
Shandon Baptiste,25,12,0,0,3,6.30,0.7,0.6,1.4,1,1,24.0,9
Thomas Strakosha,28,2,0,0,0,6.40,0.1,0.1,0.9,0,0,20.0,9
